goos: linux
goarch: amd64
pkg: github.com/xilapa/go-tiny-projects/lfu-cache
cpu: Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz
BenchmarkLinkedListItemCast-8   	 3548353	       503.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1666999	       727.6 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3546896	       337.7 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3507938	       429.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1665164	       715.8 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3019408	       339.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3470526	       341.7 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3559312	       708.5 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 2972248	       339.5 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3545667	       339.4 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3525220	       719.9 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3039628	       339.3 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3537084	       342.3 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3365652	       720.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3512121	       341.6 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3506684	       588.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1670533	       673.2 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3537624	       340.3 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3527397	       339.7 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 2619676	       721.6 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3524959	       338.6 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3510375	       472.7 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1672920	       718.4 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3551595	       341.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3554169	       345.6 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1660714	       722.5 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3409423	       339.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3546586	       455.8 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1675947	       726.6 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3538687	       341.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3546560	       340.3 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1813122	       722.5 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3518220	       338.9 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3519307	       420.8 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1671355	       718.4 ns/op	     119 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3534609	       339.4 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 3543625	       582.8 ns/op	     120 B/op	       5 allocs/op
BenchmarkLinkedListItemCast-8   	 1636003	       672.9 ns/op	     119 B/op	       4 allocs/op
PASS
ok  	github.com/xilapa/go-tiny-projects/lfu-cache	224.877s
