goos: linux
goarch: amd64
pkg: github.com/xilapa/go-tiny-projects/lfu-cache
cpu: Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz
BenchmarkLinkedListItemCast-8   	 3971359	       304.3 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3926442	       306.8 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1877107	       640.5 ns/op	     103 B/op	       3 allocs/op
BenchmarkLinkedListItemCast-8   	 3944940	       303.0 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3957074	       303.4 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3951078	       441.9 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3922207	       304.4 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3966795	       404.5 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1864345	       547.4 ns/op	     103 B/op	       3 allocs/op
BenchmarkLinkedListItemCast-8   	 3954168	       303.8 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3945697	       303.3 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3964748	       303.6 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3944203	       303.2 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3938064	       303.1 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3914142	       332.6 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 1873320	       644.2 ns/op	     103 B/op	       3 allocs/op
BenchmarkLinkedListItemCast-8   	 3956805	       304.4 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3964477	       304.8 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3924008	       304.7 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3921670	       303.9 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3970213	       416.0 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3960244	       304.1 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3963192	       304.0 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3967028	       303.9 ns/op	     104 B/op	       4 allocs/op
BenchmarkLinkedListItemCast-8   	 3865208	       304.3 ns/op	     104 B/op	       4 allocs/op
